movie_id,predicted_revenue
19994,103393916.8
25166,97132978.13333334
12120,37307329.9
9800,45240226.45333333
1090,48624246.20666666
18475,59044808.733333334
9781,77970984.88666667
8009,72354806.84666666
3877,50472740.92
8854,35198890.586666666
152599,37516704.68
68727,48417427.89333333
12657,57051033.04666667
8265,67602208.58
34647,88917653.47333333
28178,38878896.88
264656,40296130.906666666
18777,42460484.446666665
90,163158630.9
771,173048556.22
9576,48962608.946666665
744,90674094.24666667
146,32709556.68
14,47229883.666666664
45269,51024254.17333333
9493,92724380.88
22556,71234115.09333333
873,269658097.58
33196,41271356.086666666
205596,45081110.22666667
16769,78274671.48
33217,98824742.12666667
132232,68410493.85333334
11153,68381845.02
208134,98804793.56666666
1165,44307945.653333336
4011,110936519.56
17202,61789214.92
65086,39946994.806666665
10053,66972179.38666666
11870,111016233.97333333
11778,111801037.3
586,85679477.84
18736,105593839.3
134411,46391008.44
287903,104174515.11333333
9276,53128338.36666667
2142,37291158.93333333
11397,79022685.78666666
77016,20641265.85333333
11478,46300058.2
266856,38474122.22
10564,87322986.46
947,105920504.72
24150,60613680.233333334
228970,41861988.2
18405,54419587.28666667
6961,61951220.11333334
11442,59895458.18666667
2493,68061346.94666667
14047,52572839.24666667
64690,34067519.9
11132,108065604.31333333
17127,76063179.29333334
1562,36196620.86
232679,41861988.2
17880,154937400.16
14736,69924165.39333333
23706,101502098.97333333
9100,52214542.62
116,53809836.1
1245,53774156.406666666
4995,66404623.46
14012,62681286.18666667
12212,64704676.373333335
8975,42155541.9
342521,93717110.48
45272,44710873.72666667
9424,71034216.87333333
97367,38309254.07333333
254904,35435686.79
12162,63424214.266666666
11495,84711455.46
64689,53116704.54
157849,41715249.84
37003,50485485.63333333
12211,38656882.54
51828,63248417.76
22798,64644481.12
7501,49183637.7
97430,54969511.446666665
12257,57339690.406666666
14024,119249662.02
115,99840306.16666667
7874,52794655.99333333
4911,67096990.78666667
1988,36147586.39333333
16222,60597366.86
9557,89483564.14666666
8321,54796310.76
10186,96228018.2
25704,86968974.70666666
133694,42756015.53333333
19265,63195381.79333334
36047,38727792.93333333
8053,58779939.11333334
5236,90315276.58666667
6552,63744175.92666667
1018,61418547.25333333
42188,65166408.46666667
6687,61989366.49333333
8461,114412423.92666666
19,178377958.47333333
10045,40377563.54
400,29663989.346666668
253450,53949303.62
16353,26298562.093333334
23759,42355776.52666666
24206,40586160.32
10185,63188652.68666667
31668,74012451.07333334
13501,68487159.64
172391,59287591.99333333
137,94208339.98666666
264999,62946564.513333336
454,69731403.27333333
53457,43617521.46666667
33,98248600.84666666
1951,47957540.806666665
12405,43852133.02666666
10998,71580454.60666667
114,110327773.33333333
2604,44092855.79333334
864,82782400.47333333
14435,72048000.74666667
1931,41697108.166666664
691,72429734.24666667
9877,55734681.1
12227,86710681.26666667
71688,46232680.96666667
8291,55767903.733333334
13950,100666928.84
12158,95086093.34
11586,87617147.99333334
12403,58273632.26
34563,92131968.78666666
10368,50975273.38666666
14434,59164692.0
11470,78476178.28666666
24940,57022362.04
82679,67119947.63333334
2013,39813580.64666667
1440,116692812.94666667
18041,50643517.153333336
87729,102857466.63333334
44754,43501994.02666666
43949,53448638.92666667
142,55773028.85333333
10712,58321781.64666667
243938,100797679.91333333
10876,42327796.34
86838,85776593.45333333
613,33373772.133333333
1913,45685426.52
97370,34015545.906666666
801,89558176.08666667
70829,70076503.88666667
54518,55707968.32666667
44214,51392991.49
240,102514417.97333333
9816,62092364.34
10131,107902549.86
339984,38018910.02666666
8859,183597335.38
11967,62538822.76
239563,86428108.03333333
222899,73097291.27333333
4951,79207691.46
332567,54814144.70666666
1954,171836153.42
22345,74242433.84666666
